,truncated_more_than_half_data,poor_performance_subjective_rating,greater_than_50_percent_nonresponse_rate,more_than_75_percent_stop_sucess_rate,less_than_25_percent_stop_sucess_rate,missing_beh_data,missing_more_than_half_the_tasks
s592_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s592_DPX,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s592_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s592_stroop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s592_surveyMedley,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s599_ANT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s599_stopSignal,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s599_twoByTwo,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s599_WATT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s599_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s599_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s599_DPX,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s599_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s599_stroop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s599_surveyMedley,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s600_ANT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_stopSignal,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_twoByTwo,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_WATT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s600_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s600_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s607_ANT,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s609_ANT,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s637_ANT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s637_stopSignal,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s637_twoByTwo,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s637_WATT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s637_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s637_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s637_DPX,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s637_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s637_stroop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s637_surveyMedley,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s144_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s144_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s144_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s144_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s144_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s144_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s144_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s144_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s144_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s144_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s499_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s533_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s533_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s533_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s533_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s533_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s533_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s533_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s533_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s533_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s533_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s572_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s603_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s603_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s603_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s603_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s603_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s603_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s603_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s603_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s603_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s603_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s639_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s639_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s639_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s639_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s639_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s639_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s639_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s639_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s639_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s639_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s640_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s640_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s640_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s640_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s640_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s640_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s640_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s640_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s640_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s640_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s646_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s646_DPX,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s646_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s646_stroop,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s646_surveyMedley,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s646_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s646_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s646_twoByTwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s646_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s646_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s647_discountFix,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s491_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s613_DPX,1.0,0.0,0.0,0.0,0.0,0.0,0.0
